config,delta,metric,delta_mean,delta_std,n_seeds,sign_pos,sign_neg,sign_p,n_near_tie,sign_p_robust
n_givens=18,trm_mixer_nomix-trm_mixer_nomix_distinctw,coherence_excess,2.940935469846371e-11,2.2539883505751265e-10,6,4,2,0.6875,6,1.0
n_givens=18,trm_mixer_nomix_unsharedro-ff_matched,accuracy,-0.17731481481481481,0.001966514955437412,6,0,6,0.03125,0,0.03125
n_givens=18,trm_mixer_nomix_unsharedro-ff_matched,exact_match,0.0,0.0,6,0,0,1.0,6,1.0
n_givens=18,trm_mixer_nomix_unsharedro-ff_matched,coherence_excess,5.167265771853267e-05,2.947296070460155e-06,6,6,0,0.03125,6,1.0
n_givens=18,trm_mixer-ff_matched,accuracy,0.2371481481481482,0.0021053772034303852,6,6,0,0.03125,0,0.03125
n_givens=18,trm_mixer-ff_matched,exact_match,0.9551666666666668,0.02178455110087571,6,6,0,0.03125,0,0.03125
n_givens=18,trm_mixer-ff_matched,coherence_excess,0.04690774746684201,0.014366505355819528,6,6,0,0.03125,0,0.03125
n_givens=18,trm_flat-ff_matched,accuracy,-0.0014953703703703598,0.003766954129749674,6,2,4,0.6875,1,1.0
n_givens=18,trm_flat-ff_matched,exact_match,0.00016666666666666666,0.00040824829046386303,6,1,0,1.0,6,1.0
n_givens=18,trm_flat-ff_matched,coherence_excess,0.00016997377984427265,0.0004106501246318916,6,4,2,0.6875,5,1.0
n_givens=14,trm_mixer-trm_mixer_nomix,accuracy,0.5016481481481481,0.0012263398652170542,6,6,0,0.03125,0,0.03125
n_givens=14,trm_mixer-trm_mixer_nomix,exact_match,0.8931666666666667,0.01858404333471775,6,6,0,0.03125,0,0.03125
n_givens=14,trm_mixer-trm_mixer_nomix,coherence_excess,0.1379519325756446,0.013726146940038618,6,6,0,0.03125,0,0.03125
n_givens=14,trm_mixer_nomix-ff_matched,accuracy,-0.17923611111111115,0.0020592122130250697,6,0,6,0.03125,0,0.03125
n_givens=14,trm_mixer_nomix-ff_matched,exact_match,0.0,0.0,6,0,0,1.0,6,1.0
