config,delta,metric,delta_mean,delta_std,n_seeds,sign_pos,sign_neg,sign_p,n_near_tie,sign_p_robust
single,trm_mixer-trm_mixer_nomix,accuracy,-0.15698952674865724,0.17971153284867392,10,2,8,0.109375,1,0.0390625
single,trm_mixer-trm_mixer_nomix,mse,0.15698952674865724,0.17971153284867392,10,8,2,0.109375,1,0.0390625
single,trm_mixer-trm_mixer_nomix,mae,0.06522397994995117,0.07958200150066415,10,9,1,0.021484375,0,0.021484375
single,trm_mixer-trm_mixer_nomix,r2,-0.1617320077980892,0.19018781637688806,10,2,8,0.109375,1,0.0390625
single,trm_mixer_nomix-ff_matched,accuracy,0.3405238211154938,0.2603939908814591,10,9,1,0.021484375,0,0.021484375
single,trm_mixer_nomix-ff_matched,mse,-0.3405238211154938,0.2603939908814591,10,1,9,0.021484375,0,0.021484375
single,trm_mixer_nomix-ff_matched,mae,-0.16179507374763488,0.11563165042531165,10,0,10,0.001953125,0,0.001953125
single,trm_mixer_nomix-ff_matched,r2,0.34691531022371913,0.27841388500038733,10,9,1,0.021484375,0,0.021484375
single,trm_mixer-ff_matched,accuracy,0.18353429436683655,0.28580271513748706,10,7,3,0.34375,0,0.34375
single,trm_mixer-ff_matched,mse,-0.18353429436683655,0.28580271513748706,10,3,7,0.34375,0,0.34375
single,trm_mixer-ff_matched,mae,-0.09657109379768372,0.12444755873538094,10,1,9,0.021484375,1,0.0390625
single,trm_mixer-ff_matched,r2,0.18518330242562994,0.2974062434264607,10,7,3,0.34375,0,0.34375
single,trm_flat-ff_matched,accuracy,0.1744958281517029,0.1837447279005228,10,9,1,0.021484375,0,0.021484375
single,trm_flat-ff_matched,mse,-0.1744958281517029,0.1837447279005228,10,1,9,0.021484375,0,0.021484375
single,trm_flat-ff_matched,mae,-0.06723447442054749,0.07821172606374154,10,3,7,0.34375,0,0.34375
single,trm_flat-ff_matched,r2,0.17737503690034587,0.1868699413264538,10,9,1,0.021484375,0,0.021484375
single,trm_mixer-trm_flat,accuracy,0.009038466215133666,0.2366160454933601,10,8,2,0.109375,0,0.109375
single,trm_mixer-trm_flat,mse,-0.009038466215133666,0.2366160454933601,10,2,8,0.109375,0,0.109375
single,trm_mixer-trm_flat,mae,-0.02933661937713623,0.09932031923851976,10,2,8,0.109375,0,0.109375
single,trm_mixer-trm_flat,r2,0.007808265525284052,0.24312884632656317,10,8,2,0.109375,0,0.109375
