config,arm,n_params,ref_params,ratio,role,within_tol
single,trm_mixer,1050029,1047696,1.0022,matched,True
single,trm_mixer_nomix,1046396,1047696,0.9988,matched,True
single,trm_mixer_unsharedro,1049941,1047696,1.0021,matched,True
single,trm_mixer_nomix_unsharedro,1049576,1047696,1.0018,matched,True
single,trm_mixer_nomix_distinctw,1059448,1047696,1.0112,matched,True
single,trm_flat,1047696,1047696,1.0000,reference,True
single,ff_matched,1045187,1047696,0.9976,matched,True
