config,delta,metric,delta_mean,delta_std,n_seeds,sign_pos,sign_neg,sign_p,n_near_tie,sign_p_robust
single,trm_mixer-ff_matched,accuracy,0.34287740886211393,0.3698621660154471,10,9,1,0.021484375,0,0.021484375
single,trm_mixer-ff_matched,mse,-0.34287740886211393,0.3698621660154471,10,1,9,0.021484375,0,0.021484375
single,trm_mixer-ff_matched,mae,-0.17174769341945648,0.13806629753072056,10,0,10,0.001953125,0,0.001953125
single,trm_mixer-ff_matched,r2,0.4721343150044996,0.45237194166524425,10,9,1,0.021484375,0,0.021484375
single,trm_mixer-trm_flat,accuracy,0.09216228276491165,0.14913252694961981,10,8,2,0.109375,0,0.109375
single,trm_mixer-trm_flat,mse,-0.09216228276491165,0.14913252694961981,10,2,8,0.109375,0,0.109375
single,trm_mixer-trm_flat,mae,-0.07726111859083176,0.08312287625026267,10,2,8,0.109375,0,0.109375
single,trm_mixer-trm_flat,r2,0.1197829991630119,0.20536821740969097,10,8,2,0.109375,0,0.109375
single,trm_mixer-untied_mixer_matched,accuracy,0.06593835204839707,0.1488929266025084,10,5,5,1.0,2,0.7265625
single,trm_mixer-untied_mixer_matched,mse,-0.06593835204839707,0.1488929266025084,10,5,5,1.0,2,0.7265625
single,trm_mixer-untied_mixer_matched,mae,-0.032194468379020694,0.06906435355490638,10,6,4,0.75390625,0,0.75390625
single,trm_mixer-untied_mixer_matched,r2,0.05870445296609121,0.21176612946947596,10,5,5,1.0,1,1.0
single,trm_mixer-untied_mixer,accuracy,0.028016531467437746,0.06954134529005414,10,5,5,1.0,0,1.0
single,trm_mixer-untied_mixer,mse,-0.028016531467437746,0.06954134529005414,10,5,5,1.0,0,1.0
single,trm_mixer-untied_mixer,mae,-0.003527364134788513,0.03208143696177323,10,4,6,0.75390625,0,0.75390625
single,trm_mixer-untied_mixer,r2,0.04533163602112235,0.1359507583461122,10,5,5,1.0,0,1.0
single,untied_mixer_matched-ff_matched,accuracy,0.2769390568137169,0.23675717148339895,10,10,0,0.001953125,0,0.001953125
single,untied_mixer_matched-ff_matched,mse,-0.2769390568137169,0.23675717148339895,10,0,10,0.001953125,0,0.001953125
single,untied_mixer_matched-ff_matched,mae,-0.1395532250404358,0.08483441798443493,10,0,10,0.001953125,0,0.001953125
single,untied_mixer_matched-ff_matched,r2,0.4134298620384083,0.2992897658113376,10,10,0,0.001953125,0,0.001953125
single,trm_flat-ff_matched,accuracy,0.2507151260972023,0.30007306029551656,10,9,1,0.021484375,0,0.021484375
single,trm_flat-ff_matched,mse,-0.2507151260972023,0.30007306029551656,10,1,9,0.021484375,0,0.021484375
single,trm_flat-ff_matched,mae,-0.09448657482862473,0.09514609540903644,10,1,9,0.021484375,1,0.00390625
single,trm_flat-ff_matched,r2,0.3523513158414876,0.37436191507015404,10,9,1,0.021484375,0,0.021484375
single,trm_flat-trm_decoupled,accuracy,0.11231431961059571,0.17638053130979284,10,8,2,0.109375,0,0.109375
single,trm_flat-trm_decoupled,mse,-0.11231431961059571,0.17638053130979284,10,2,8,0.109375,0,0.109375
single,trm_flat-trm_decoupled,mae,-0.06360273510217666,0.07815843481644007,10,2,8,0.109375,0,0.109375
single,trm_flat-trm_decoupled,r2,0.13220516751188624,0.21445513779380287,10,8,2,0.109375,0,0.109375
