T_test,R_test,arm,metric,mean,std
4,0,baseline,accuracy,0.5034666666666666,0.004035643660320674
4,4,trm_ds,accuracy,0.9588444444444445,0.007214782492892882
4,4,trm_ds,exact_match,0.7604,0.028076680715497716
4,4,trm_nods,accuracy,0.9719333333333333,0.008894997900748528
4,4,trm_nods,exact_match,0.8283999999999999,0.05960117448507202
4,4,untied_stack,accuracy,0.9992222222222222,0.0010274023338281636
4,4,untied_stack,exact_match,0.9942,0.008012490249604058
4,4,untied_matched,accuracy,0.8214666666666666,0.02132572202184693
4,4,untied_matched,exact_match,0.1972,0.03890629769073383
4,4,ff_matched,accuracy,0.9705999999999999,0.0077827761716672585
4,4,ff_matched,exact_match,0.7926,0.0573872808207533
4,6,trm_ds,accuracy,0.6145333333333334,0.025574678835341483
4,6,trm_ds,exact_match,0.012,0.0056124860801609125
4,6,trm_nods,accuracy,0.5485555555555556,0.017543244628596064
4,6,trm_nods,exact_match,0.0082,0.0032710854467592246
4,6,untied_stack,accuracy,0.9992222222222222,0.0010274023338281636
4,6,untied_stack,exact_match,0.9942,0.008012490249604058
4,6,untied_matched,accuracy,0.8214666666666666,0.02132572202184693
4,6,untied_matched,exact_match,0.1972,0.03890629769073383
4,6,ff_matched,accuracy,0.9705999999999999,0.0077827761716672585
4,6,ff_matched,exact_match,0.7926,0.0573872808207533
4,8,trm_ds,accuracy,0.548711111111111,0.013519441876126984
4,8,trm_ds,exact_match,0.005,0.00291547594742265
4,8,trm_nods,accuracy,0.5248888888888888,0.005917644676602195
4,8,trm_nods,exact_match,0.0036000000000000003,0.0011401754250991382
4,8,untied_stack,accuracy,0.9992222222222222,0.0010274023338281636
4,8,untied_stack,exact_match,0.9942,0.008012490249604058
4,8,untied_matched,accuracy,0.8214666666666666,0.02132572202184693
4,8,untied_matched,exact_match,0.1972,0.03890629769073383
4,8,ff_matched,accuracy,0.9705999999999999,0.0077827761716672585
4,8,ff_matched,exact_match,0.7926,0.0573872808207533
4,10,trm_ds,accuracy,0.5372,0.009650817147005677
4,10,trm_ds,exact_match,0.0028,0.0027748873851023217
4,10,trm_nods,accuracy,0.5143777777777777,0.01757182790157214
4,10,trm_nods,exact_match,0.005,0.0031622776601683794
4,10,untied_stack,accuracy,0.9992222222222222,0.0010274023338281636
4,10,untied_stack,exact_match,0.9942,0.008012490249604058
4,10,untied_matched,accuracy,0.8214666666666666,0.02132572202184693
4,10,untied_matched,exact_match,0.1972,0.03890629769073383
4,10,ff_matched,accuracy,0.9705999999999999,0.0077827761716672585
4,10,ff_matched,exact_match,0.7926,0.0573872808207533
4,12,trm_ds,accuracy,0.5276666666666666,0.006955324809804127
4,12,trm_ds,exact_match,0.0027999999999999995,0.0016431676725154984
4,12,trm_nods,accuracy,0.5172666666666667,0.006873010374278373
4,12,trm_nods,exact_match,0.0038000000000000004,0.0036331804249169902
4,12,untied_stack,accuracy,0.9992222222222222,0.0010274023338281636
4,12,untied_stack,exact_match,0.9942,0.008012490249604058
4,12,untied_matched,accuracy,0.8214666666666666,0.02132572202184693
4,12,untied_matched,exact_match,0.1972,0.03890629769073383
4,12,ff_matched,accuracy,0.9705999999999999,0.0077827761716672585
4,12,ff_matched,exact_match,0.7926,0.0573872808207533
6,0,baseline,accuracy,0.5049111111111111,0.003785449726205573
6,4,trm_ds,accuracy,0.4962000000000001,0.0029443396207756434
6,4,trm_ds,exact_match,0.0108,0.004658325879540846
6,4,trm_nods,accuracy,0.4961333333333333,0.004598308867882238
6,4,trm_nods,exact_match,0.0114,0.005899152481501051
6,4,untied_stack,accuracy,0.49737777777777775,0.005246162618735945
6,4,untied_stack,exact_match,0.014799999999999999,0.004919349550499537
6,4,untied_matched,accuracy,0.4922888888888889,0.0044218872011566645
6,4,untied_matched,exact_match,0.002,0.002
6,4,ff_matched,accuracy,0.4943555555555556,0.00601920793772162
6,4,ff_matched,exact_match,0.0098,0.0036331804249169902
6,6,trm_ds,accuracy,0.49379999999999996,0.008551730746780574
6,6,trm_ds,exact_match,0.001,0.001
6,6,trm_nods,accuracy,0.502,0.011133588375876712
6,6,trm_nods,exact_match,0.001,0.001414213562373095
6,6,untied_stack,accuracy,0.49737777777777775,0.005246162618735945
6,6,untied_stack,exact_match,0.014799999999999999,0.004919349550499537
6,6,untied_matched,accuracy,0.4922888888888889,0.0044218872011566645
6,6,untied_matched,exact_match,0.002,0.002
6,6,ff_matched,accuracy,0.4943555555555556,0.00601920793772162
6,6,ff_matched,exact_match,0.0098,0.0036331804249169902
6,8,trm_ds,accuracy,0.49811111111111117,0.007356864603220822
6,8,trm_ds,exact_match,0.002,0.0018708286933869706
6,8,trm_nods,accuracy,0.4952222222222222,0.006042544636079418
6,8,trm_nods,exact_match,0.002,0.003391164991562634
6,8,untied_stack,accuracy,0.49737777777777775,0.005246162618735945
6,8,untied_stack,exact_match,0.014799999999999999,0.004919349550499537
6,8,untied_matched,accuracy,0.4922888888888889,0.0044218872011566645
6,8,untied_matched,exact_match,0.002,0.002
6,8,ff_matched,accuracy,0.4943555555555556,0.00601920793772162
6,8,ff_matched,exact_match,0.0098,0.0036331804249169902
6,10,trm_ds,accuracy,0.49562222222222224,0.00942206498820588
6,10,trm_ds,exact_match,0.0022,0.0008366600265340755
6,10,trm_nods,accuracy,0.49751111111111107,0.00784675760669793
6,10,trm_nods,exact_match,0.0021999999999999997,0.002683281572999748
6,10,untied_stack,accuracy,0.49737777777777775,0.005246162618735945
6,10,untied_stack,exact_match,0.014799999999999999,0.004919349550499537
6,10,untied_matched,accuracy,0.4922888888888889,0.0044218872011566645
6,10,untied_matched,exact_match,0.002,0.002
6,10,ff_matched,accuracy,0.4943555555555556,0.00601920793772162
6,10,ff_matched,exact_match,0.0098,0.0036331804249169902
6,12,trm_ds,accuracy,0.49942222222222227,0.006490448823149747
6,12,trm_ds,exact_match,0.002,0.002549509756796392
6,12,trm_nods,accuracy,0.49191111111111113,0.008818261075465036
6,12,trm_nods,exact_match,0.002,0.0007071067811865475
6,12,untied_stack,accuracy,0.49737777777777775,0.005246162618735945
6,12,untied_stack,exact_match,0.014799999999999999,0.004919349550499537
6,12,untied_matched,accuracy,0.4922888888888889,0.0044218872011566645
6,12,untied_matched,exact_match,0.002,0.002
6,12,ff_matched,accuracy,0.4943555555555556,0.00601920793772162
6,12,ff_matched,exact_match,0.0098,0.0036331804249169902
8,0,baseline,accuracy,0.5040666666666667,0.004816765986416748
8,4,trm_ds,accuracy,0.4778888888888889,0.0039267993437938475
8,4,trm_ds,exact_match,0.0106,0.004219004621945796
8,4,trm_nods,accuracy,0.4759555555555556,0.004088979467595773
8,4,trm_nods,exact_match,0.0114,0.005899152481501051
8,4,untied_stack,accuracy,0.47475555555555554,0.005381954301066234
8,4,untied_stack,exact_match,0.014799999999999999,0.004919349550499537
8,4,untied_matched,accuracy,0.4839777777777778,0.007517223022852837
8,4,untied_matched,exact_match,0.0026000000000000003,0.0016733200530681513
8,4,ff_matched,accuracy,0.4765777777777778,0.004833908011812664
8,4,ff_matched,exact_match,0.0098,0.0036331804249169902
8,6,trm_ds,accuracy,0.4966444444444445,0.006249641965053508
8,6,trm_ds,exact_match,0.0024000000000000002,0.0008944271909999159
8,6,trm_nods,accuracy,0.5010222222222221,0.012078038431205588
8,6,trm_nods,exact_match,0.004200000000000001,0.0019235384061671345
8,6,untied_stack,accuracy,0.47475555555555554,0.005381954301066234
8,6,untied_stack,exact_match,0.014799999999999999,0.004919349550499537
8,6,untied_matched,accuracy,0.4839777777777778,0.007517223022852837
8,6,untied_matched,exact_match,0.0026000000000000003,0.0016733200530681513
8,6,ff_matched,accuracy,0.4765777777777778,0.004833908011812664
8,6,ff_matched,exact_match,0.0098,0.0036331804249169902
8,8,trm_ds,accuracy,0.5010444444444444,0.007972793243196856
8,8,trm_ds,exact_match,0.0028000000000000004,0.002588435821108957
8,8,trm_nods,accuracy,0.5022444444444444,0.010687306420165882
8,8,trm_nods,exact_match,0.0028,0.002387467277262664
8,8,untied_stack,accuracy,0.47475555555555554,0.005381954301066234
8,8,untied_stack,exact_match,0.014799999999999999,0.004919349550499537
8,8,untied_matched,accuracy,0.4839777777777778,0.007517223022852837
8,8,untied_matched,exact_match,0.0026000000000000003,0.0016733200530681513
8,8,ff_matched,accuracy,0.4765777777777778,0.004833908011812664
8,8,ff_matched,exact_match,0.0098,0.0036331804249169902
8,10,trm_ds,accuracy,0.49415555555555557,0.010071840711043924
8,10,trm_ds,exact_match,0.0024000000000000002,0.0028809720581775868
8,10,trm_nods,accuracy,0.49751111111111107,0.01347622506398986
8,10,trm_nods,exact_match,0.001,0.001414213562373095
8,10,untied_stack,accuracy,0.47475555555555554,0.005381954301066234
8,10,untied_stack,exact_match,0.014799999999999999,0.004919349550499537
8,10,untied_matched,accuracy,0.4839777777777778,0.007517223022852837
8,10,untied_matched,exact_match,0.0026000000000000003,0.0016733200530681513
8,10,ff_matched,accuracy,0.4765777777777778,0.004833908011812664
8,10,ff_matched,exact_match,0.0098,0.0036331804249169902
8,12,trm_ds,accuracy,0.49595555555555554,0.009419444034863497
8,12,trm_ds,exact_match,0.0024000000000000002,0.003781534080237807
8,12,trm_nods,accuracy,0.4977333333333334,0.011803849549936298
