config,arm,n_params,ref_params,ratio,role,within_tol
"rule=13, w=24",trm_nods,6288,6288,1.0000,reference,True
"rule=13, w=24",trm_decoupled_nods,6366,6288,1.0124,matched,True
"rule=13, w=24",trm_stepDS,6288,6288,1.0000,matched,True
"rule=13, w=24",trm_decoupled_stepDS,6366,6288,1.0124,matched,True
"rule=13, w=24",ff_matched,6288,6288,1.0000,matched,True
"rule=13, w=24",untied_matched,6343,6288,1.0087,matched,True
"rule=13, w=32",trm_nods,7584,7584,1.0000,reference,True
"rule=13, w=32",trm_decoupled_nods,7562,7584,0.9971,matched,True
"rule=13, w=32",trm_stepDS,7584,7584,1.0000,matched,True
"rule=13, w=32",trm_decoupled_stepDS,7562,7584,0.9971,matched,True
"rule=13, w=32",ff_matched,7659,7584,1.0099,matched,True
"rule=13, w=32",untied_matched,8119,7584,1.0705,matched,False
"rule=78, w=24",trm_nods,6288,6288,1.0000,reference,True
"rule=78, w=24",trm_decoupled_nods,6366,6288,1.0124,matched,True
"rule=78, w=24",trm_stepDS,6288,6288,1.0000,matched,True
"rule=78, w=24",trm_decoupled_stepDS,6366,6288,1.0124,matched,True
"rule=78, w=24",ff_matched,6288,6288,1.0000,matched,True
"rule=78, w=24",untied_matched,6343,6288,1.0087,matched,True
"rule=78, w=32",trm_nods,7584,7584,1.0000,reference,True
"rule=78, w=32",trm_decoupled_nods,7562,7584,0.9971,matched,True
"rule=78, w=32",trm_stepDS,7584,7584,1.0000,matched,True
"rule=78, w=32",trm_decoupled_stepDS,7562,7584,0.9971,matched,True
"rule=78, w=32",ff_matched,7659,7584,1.0099,matched,True
"rule=78, w=32",untied_matched,8119,7584,1.0705,matched,False
"rule=92, w=24",trm_nods,6288,6288,1.0000,reference,True
"rule=92, w=24",trm_decoupled_nods,6366,6288,1.0124,matched,True
"rule=92, w=24",trm_stepDS,6288,6288,1.0000,matched,True
"rule=92, w=24",trm_decoupled_stepDS,6366,6288,1.0124,matched,True
"rule=92, w=24",ff_matched,6288,6288,1.0000,matched,True
"rule=92, w=24",untied_matched,6343,6288,1.0087,matched,True
"rule=92, w=32",trm_nods,7584,7584,1.0000,reference,True
"rule=92, w=32",trm_decoupled_nods,7562,7584,0.9971,matched,True
"rule=92, w=32",trm_stepDS,7584,7584,1.0000,matched,True
"rule=92, w=32",trm_decoupled_stepDS,7562,7584,0.9971,matched,True
"rule=92, w=32",ff_matched,7659,7584,1.0099,matched,True
"rule=92, w=32",untied_matched,8119,7584,1.0705,matched,False
