config,arm,metric,mean,std,n_seeds
single,trm,effective_rank,18.3633544921875,0.4817942215830116,5
single,trm,participation_ratio,7.1112374707651345,0.3505405669753359,5
single,trm,n_dims,64.0,0.0,5
single,trm,max_spectral_norm,2.037162113189697,0.056335703160077764,5
single,trm,lipschitz_product,6.4977222210119265,0.26189178871124247,5
single,trm,residual_at_trained,1.2371876239776611,0.08903036058398135,5
single,trm,residual_overunroll,1.2908312797546386,0.1070400738830813,5
single,trm,acc_at_trained,0.9669596314430237,0.001812411697811777,5
single,trm,acc_overunroll,0.6363932371139527,0.07774182689948325,5
single,trm,acc_overunroll_drop,0.33056639432907103,0.07712483130839123,5
single,trm,em_at_trained,0.58125,0.02492052798083841,5
single,trm,em_overunroll,0.01171875,0.015378921628929319,5
single,trm,spectral_radius_mean,2.384454364310284,0.10874437879517519,5
single,trm,spectral_radius_max,2.518812422845946,0.13816725003687882,5
single,trm,operator_norm_mean,2.6598419369097703,0.13324878857851563,5
single,trm,operator_norm_max,2.7664535278294577,0.16346330417537613,5
single,trm,frac_expanding,1.0,0.0,5
single,trm,n_examples,8.0,0.0,5
single,trm,za_alignment,0.9704814195632935,0.01607833933136969,5
single,trm,readout_agreement,0.315625,0.184513983633355,5
single,trm,n_inits,5.0,0.0,5
single,trm_decoupled,effective_rank,65.60287933349609,10.563268648117711,5
single,trm_decoupled,participation_ratio,7.507719490363625,0.9474231238762159,5
single,trm_decoupled,n_dims,1848.0,0.0,5
single,trm_decoupled,max_spectral_norm,2.906415891647339,0.17890580154950145,5
single,trm_decoupled,lipschitz_product,5.968815026247628,0.8077340375848662,5
single,trm_decoupled,residual_at_trained,1.3671955227851869,0.6599937281353989,5
single,trm_decoupled,residual_overunroll,1.4301533937454223,0.7205101735671523,5
single,trm_decoupled,acc_at_trained,0.9191731691360474,0.02030876507857993,5
single,trm_decoupled,acc_overunroll,0.5486002564430237,0.22042263709560414,5
single,trm_decoupled,acc_overunroll_drop,0.37057291269302367,0.20686156386295954,5
single,trm_decoupled,em_at_trained,0.2609375,0.07273391346523814,5
single,trm_decoupled,em_overunroll,0.07421875,0.1659581702050625,5
single,trm_decoupled,spectral_radius_mean,2.014336224723933,0.27725628221104714,5
single,trm_decoupled,spectral_radius_max,2.0655795643704735,0.356670658358649,5
single,trm_decoupled,operator_norm_mean,2.9294216214113615,0.23872262341289538,5
single,trm_decoupled,operator_norm_max,2.964989497418963,0.2573194932142807,5
single,trm_decoupled,frac_expanding,1.0,0.0,5
single,trm_decoupled,n_examples,8.0,0.0,5
single,trm_decoupled,za_alignment,0.5515622824430466,0.2890357872931544,5
single,trm_decoupled,readout_agreement,0.5953125,0.5434645330934382,5
single,trm_decoupled,n_inits,5.0,0.0,5
single,ff_matched,effective_rank,41.262342834472655,1.6223714723516163,5
single,ff_matched,participation_ratio,11.368283456898933,0.36457427406929704,5
single,ff_matched,n_dims,94.0,0.0,5
single,ff_matched,max_spectral_norm,5.959300899505616,0.15819383914764198,5
single,ff_matched,lipschitz_product,79.06940642966912,2.8914145013127768,5
single,untied_matched,effective_rank,8.807007980346679,0.23350365337597714,5
single,untied_matched,participation_ratio,4.852832448451307,0.21806832046905988,5
single,untied_matched,n_dims,17.0,0.0,5
single,untied_matched,max_spectral_norm,3.269640016555786,0.10086692249270393,5
single,untied_matched,lipschitz_product,98426.03864316086,79477.09287847384,5
